0.8
epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
eval_cost,3.8125598688591706,3.7391240416706366,3.739937056609534,3.7177391160612583,3.7230411847771245,3.71085986414754,3.7028951777216204,3.7029919271721408,3.702853916917184,3.7095730330971795,3.694384070074625,3.713251606442243,3.7127567142503493,3.701366798223373,3.7008032296220637,3.707818975275243,3.698601485836579,3.697092510053773,3.7046466441109573,3.706310104389474,3.6940977585189247,3.699524387570865,3.6995170300144813,3.6904206934317156,3.702303439767477,3.6927922883449646,3.696880546204807,3.689126202204895,3.6882697054378495,3.691932169073396,3.689146214271697,3.6913586279457262,3.6951629245833075,3.7039722933704744,3.6976420727642805,3.686625579680046,3.695936780307069,3.6896176605345516,3.683743745593994,3.694082679828318,3.6917386111494097,3.696148813134956,3.684050339490985,3.6878486340770276,3.68564806421406,3.6803640946491365,3.6883517922460216,3.6892540502469,3.6882737934054535,3.6944446162047404,3.696631084020786,3.696593703291503,3.6818083045000582,3.687028632990459,3.6819271172967314,3.6858702308732134,3.68965474674217,3.687640714651939,3.685819922554861,3.6922200289182645,3.679663299925134,3.6859834186127247,3.6838374447843605,3.683686239263242,3.6918201372583757,3.6978221302871748,3.6801227963470917,3.6813900485237014,3.691854964108293,3.688219997513738,3.6862673803378563,3.678587311084518,3.686476122187696,3.6824188466735657,3.685574192795213,3.688031823815599,3.6898665370742654,3.69607956382486,3.6795274555870336,3.6850354585584064,3.6814480767742226,3.68314058408087,3.6877258939477473,3.6968686326141307,3.6869544853902276,3.692748951880654,3.680085116133015,3.6851854961897765,3.677826667954258,3.6861838613634066,3.6806115639845074,3.6813229054646066,3.685657036549033,3.683171467591089,3.693907992633689,3.684456650370493,3.6895604672949287,3.679930924745425,3.6832163936146047,3.6882524258654668
train_cost,3.8929511009176476,3.8451044069786797,3.8375198644044173,3.832711716583924,3.8398429647630876,3.8329953658778537,3.825732649199543,3.8245190710345014,3.8225947114067247,3.8237690856840523,3.8151703679363953,3.8301416389712797,3.8298795760221327,3.8218236759266397,3.82188695173703,3.8232174939605366,3.8231827313671847,3.822963547714499,3.829052746189307,3.8264401632388085,3.819804414651444,3.825437896053797,3.8238647446717815,3.819323660051365,3.8198669319993814,3.812567281027924,3.8206490511685574,3.8064258045488235,3.8046031190700793,3.8119782801832867,3.8055111539374415,3.813908167036041,3.8141830977936255,3.82328260777862,3.817289651268035,3.809673705843369,3.814719915045833,3.8158508989733724,3.807423718670579,3.8157960861730897,3.8128507485257295,3.815890398071512,3.80807514299989,3.8053848161169204,3.8128282874768566,3.806641537655135,3.809009523491299,3.8097156339654963,3.808694804587659,3.8086061270094906,3.8172198477438233,3.8146589769691213,3.8071353524266063,3.8100496562784945,3.8030702941550807,3.811335716715044,3.8071784808254443,3.8027282650872936,3.804436986753248,3.8139281626435517,3.7985327943594296,3.8027479835296285,3.8010577933835368,3.80690839793266,3.811962336058832,3.8174612942435093,3.801287975857812,3.798954010274612,3.8096257087137757,3.8067914417289828,3.8091945111625143,3.7998631180160922,3.804014624838144,3.80766581464868,3.8096999358227044,3.806482859024078,3.8080190990328715,3.8097571507736574,3.798719915833329,3.8021801317612445,3.8011634374343988,3.800053279884381,3.8041395338703277,3.8106564098975295,3.8029977783791753,3.808192639142956,3.8018206089085465,3.804055156933413,3.800237067605913,3.803958898012358,3.8009771400466867,3.799382091518635,3.805068282879145,3.806806725842607,3.8095250347460663,3.8024993793973234,3.80486253998749,3.794459063304994,3.803354959526876,3.808291774612101

epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
eval_acc,0.2164,0.2545,0.2738,0.3117,0.2906,0.2909,0.2977,0.2939,0.2871,0.325,0.2834,0.2847,0.3257,0.3063,0.2964,0.2937,0.294,0.2859,0.2942,0.2877,0.2987,0.2863,0.291,0.2986,0.2846,0.2837,0.2848,0.2924,0.2906,0.2966,0.2825,0.292,0.2965,0.2914,0.2985,0.2938,0.2957,0.2951,0.2916,0.2949,0.289,0.2938,0.2849,0.2934,0.2912,0.2952,0.2945,0.2814,0.2914,0.2908,0.2843,0.2924,0.2915,0.2839,0.2954,0.2784,0.2828,0.2918,0.2782,0.2946,0.2893,0.2906,0.2907,0.2954,0.295,0.2962,0.2948,0.2937,0.2939,0.2824,0.2941,0.2827,0.2841,0.2867,0.2936,0.2935,0.2792,0.2892,0.2934,0.2912,0.2851,0.2933,0.2913,0.2908,0.2942,0.2824,0.2839,0.2938,0.2951,0.2888,0.2949,0.2811,0.2948,0.284,0.2926,0.2945,0.282,0.2904,0.2831,0.2819
train_acc,0.21194,0.23566,0.255616,0.268704,0.264984,0.268072,0.27008,0.273484,0.274452,0.287448,0.263244,0.26802,0.286128,0.287768,0.276564,0.274752,0.276148,0.269736,0.275616,0.269364,0.27912,0.263752,0.275328,0.277812,0.267948,0.26946,0.263272,0.277568,0.2748,0.278324,0.269292,0.276212,0.277656,0.277592,0.286436,0.278208,0.2796,0.276352,0.27418,0.277844,0.273312,0.279272,0.26304,0.277764,0.274352,0.27838,0.278548,0.26242,0.276232,0.275312,0.264464,0.2761,0.274776,0.27026,0.278332,0.248932,0.268476,0.278404,0.268664,0.276196,0.27528,0.276788,0.275516,0.277228,0.277468,0.280824,0.27764,0.277524,0.27884,0.263532,0.277024,0.269728,0.266668,0.26488,0.278124,0.278536,0.269668,0.27522,0.279468,0.275996,0.270936,0.278072,0.275248,0.276768,0.278856,0.270288,0.27098,0.277372,0.279684,0.276044,0.278564,0.26486,0.280676,0.26376,0.277216,0.279128,0.270224,0.275924,0.264908,0.271036

test_acc,0.291

