lr,0.0001,kp,0.5,bs,50
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.16,0.16,0.14,0.28,0.42,0.36,0.52,0.62,0.64,0.68,0.66,0.74,0.7,0.72,0.68,0.74,0.86,0.78,0.82,0.86
test_acc,0.915799975395

ITERATION 0
lr,0.0005,kp,0.5,bs,100.0
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.06,0.29,0.54,0.67,0.85,0.89,0.87,0.89,0.9,0.87,0.9,0.9,0.93,0.86,0.92,0.91,0.96,0.91,0.95,0.95
test_acc,0.964900016785
lr,0.0005,kp,0.5,bs,200.0
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.075,0.37,0.635,0.755,0.84,0.86,0.9,0.9,0.93,0.915,0.875,0.92,0.94,0.915,0.945,0.95,0.915,0.955,0.91,0.965
test_acc,0.968800008297
lr,0.0005,kp,0.5,bs,300.0
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.10666667,0.47666666,0.62,0.81333333,0.8833333,0.87333333,0.9166667,0.9033333,0.92333335,0.94,0.9066667,0.91,0.93,0.9166667,0.9266667,0.93,0.96,0.96666664,0.9533333,0.95666665
test_acc,0.973699986935
lr,0.0005,kp,0.5,bs,400.0
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.065,0.4225,0.6775,0.7825,0.8325,0.86,0.9025,0.9275,0.9325,0.92,0.9175,0.92,0.945,0.9425,0.955,0.9675,0.9625,0.9525,0.9425,0.9525
test_acc,0.978100001812
lr,0.0005,kp,0.5,bs,500.0
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.096,0.41,0.682,0.806,0.854,0.892,0.894,0.926,0.926,0.94,0.936,0.928,0.94,0.93,0.948,0.954,0.956,0.964,0.956,0.95
test_acc,0.976000010967
lr,0.0005,kp,0.5,bs,600.0
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.12833333,0.49166667,0.7266667,0.855,0.85333335,0.905,0.90833336,0.9316667,0.93,0.93,0.9433333,0.95666665,0.95166665,0.935,0.95166665,0.9533333,0.96,0.96666664,0.9583333,0.9633333
test_acc,0.978299975395
lr,0.0005,kp,0.5,bs,700.0
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.07714286,0.49571428,0.7114286,0.81285715,0.8914286,0.8957143,0.92142856,0.9085714,0.93285716,0.92285717,0.9457143,0.94714284,0.96,0.97,0.95,0.9557143,0.9614286,0.9671429,0.9714286,0.9557143
test_acc,0.978699982166
lr,0.0005,kp,0.5,bs,800.0
epoch,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190
train_acc0.11,0.59625,0.8,0.875,0.9075,0.92875,0.9075,0.94875,0.9525,0.93125,0.95,0.955,0.96,0.95875,0.96125,0.9675,0.96375,0.97375,0.97125,0.97625
test_acc,0.982100009918
