0.01
epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
eval_cost,0.711642904993,0.666691023944,0.641924358077,0.657101039715,0.637611887929,0.65039661227,0.639609111578,0.649657155342,0.66212250519,0.635035630585,0.649381376055,0.637790484015,0.643985706647,0.638037103243,0.641646556128,0.684661187929,0.652793317294,0.665419397021,0.635913534317,0.631472666514,0.642477284708,0.633794920916,0.626366600157,0.62748928952,0.636377929759,0.635695986758,0.704562532788,0.644405381927,0.63973969746,0.63124876718,0.652362136961,0.640402334175,0.639478754538,0.626302655348,0.646746555198,0.650742986485,0.649888127129,0.633888218168,0.646819889452,0.65150962174,0.638174820647,0.635207951831,0.64554345801,0.636534062121,0.635895707125,0.640334329666,0.637527021315,0.694929325738,0.643909974903,0.644011857021,0.636746544151,0.641195081985,0.64630145021,0.648289983118,0.63821595032,0.633540053994,0.641525779524,0.644864349646,0.652029645433,0.643678375386,0.639679305712,0.634128639026,0.631130239503,0.659711451568,0.689194819142,0.643042553759,0.649175962487,0.634513099882,0.641823463033,0.643480041266,0.65086786675,0.638358109474,0.643393444841,0.635580350683,0.672869170683,0.701460026972,0.667773776241,0.637985825972,0.640604421391,0.647461870824,0.651052992416,0.657463015781,0.652523571851,0.663240553136,0.637076096864,0.647734878815,0.653545571828,0.651972208716,0.644617257631,0.640063157784,0.647222105376,0.658726411439,0.696717359251,0.666662072107,0.671194863441,0.653261031372,0.675590450067,0.659988648945,0.665396002507,0.635173568125
train_cost,0.763908035975,0.710095588621,0.678210599094,0.680360077228,0.662851543003,0.681054539524,0.660342513479,0.665341910878,0.672122514776,0.655401909325,0.670204769437,0.647196820203,0.651578675888,0.646566728687,0.643753446698,0.687678760124,0.653707187454,0.663500089225,0.641567069049,0.627758709597,0.63800266846,0.636761240788,0.622179484825,0.627160310005,0.629316697535,0.627796207561,0.699299348522,0.635565101303,0.629386703232,0.621323512551,0.64304868979,0.627570949729,0.620943368403,0.615491693049,0.630516310564,0.632994431674,0.63539655026,0.618865784666,0.626056953337,0.636591110954,0.621680943477,0.623523364701,0.626541204063,0.617972219645,0.616556133421,0.618441819317,0.613595672831,0.667698102748,0.626730348304,0.62199765922,0.616406898427,0.622151837408,0.625898060524,0.633985130562,0.614059168795,0.61532939741,0.61733570702,0.619473268784,0.624979049508,0.623597249548,0.618922289439,0.605239427399,0.610658436251,0.637526370628,0.669060687453,0.615846790977,0.622455591661,0.605538624666,0.62197616155,0.619028366445,0.624329865441,0.609947861511,0.616052204169,0.604901733137,0.642494308664,0.663945795764,0.637622421534,0.610593550395,0.609558111164,0.61096610435,0.625083790112,0.631182357758,0.623702998356,0.633629643014,0.605120575129,0.624639402832,0.624922783379,0.622930144819,0.611409110812,0.609244143216,0.612945867524,0.625419022449,0.661718806505,0.629189828608,0.643903398396,0.624230588481,0.637864560372,0.622389932967,0.624565403974,0.60004994555

epoch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
eval_acc,0.9082,0.9139,0.9176,0.9162,0.919,0.9165,0.9179,0.9194,0.9158,0.9188,0.9202,0.9209,0.9169,0.9182,0.9194,0.9145,0.9173,0.9165,0.9192,0.9194,0.9196,0.9202,0.9188,0.9207,0.9185,0.9185,0.914,0.9202,0.9233,0.9189,0.9199,0.9202,0.92,0.9207,0.918,0.9176,0.9183,0.9218,0.9198,0.9194,0.919,0.9215,0.9189,0.919,0.9212,0.9197,0.9192,0.9137,0.9216,0.9228,0.92,0.9206,0.9189,0.9195,0.9176,0.9221,0.9221,0.9199,0.9178,0.9198,0.9201,0.9203,0.9212,0.9165,0.9128,0.9201,0.9199,0.9209,0.9194,0.9202,0.919,0.9197,0.921,0.9197,0.9146,0.9135,0.9175,0.9213,0.9202,0.9205,0.9223,0.9168,0.9202,0.9166,0.9208,0.921,0.9185,0.918,0.9201,0.9203,0.9208,0.9181,0.9123,0.9182,0.9171,0.9171,0.915,0.9169,0.9186,0.9213
train_acc,0.90058,0.90932,0.91318,0.91002,0.9146,0.9136,0.91532,0.91614,0.91182,0.91634,0.91712,0.91708,0.91738,0.91688,0.91964,0.91368,0.91828,0.91464,0.91804,0.9223,0.92098,0.9226,0.92152,0.92202,0.92126,0.9211,0.9159,0.92154,0.92318,0.92204,0.9183,0.9232,0.9216,0.92352,0.92022,0.92014,0.91998,0.9235,0.92218,0.92218,0.92158,0.92282,0.92078,0.9242,0.92272,0.92324,0.9243,0.91542,0.92464,0.92346,0.9243,0.92282,0.92298,0.92178,0.92292,0.92342,0.92356,0.92202,0.92066,0.9222,0.9231,0.92474,0.9252,0.91966,0.9183,0.92358,0.92408,0.92504,0.92344,0.9246,0.92116,0.92472,0.92302,0.92484,0.92092,0.91558,0.91744,0.92518,0.92516,0.92628,0.92258,0.92368,0.92412,0.91942,0.92572,0.92382,0.9232,0.9245,0.92522,0.92548,0.92392,0.92174,0.91664,0.92114,0.92036,0.92266,0.91804,0.92246,0.92186,0.92622

test_acc,0.9185

0.1
